area,name,rating,total_rate
大同區,Impromptu by Paul Lee,4.4,401
大同區,BangBang美式餐廳,4.5,314
大同區,Hung Kan Yum-cha,4.4,4387
大同區,刀叉私廚商行,4.7,70
大同區,翡冷翠義式餐廳,4.4,1743
大同區,Tutto Bello,4.4,669
大同區,Jiu Yue Dim Sum Restaurant,4.6,821
大同區,【完全預約制】WAING和? 葡萄酒餐酒館,4.4,307
大同區,畢斯特美味廚房 義式餐廳,4.3,92
大同區,吃吧餐廳 chiba,4,640
大同區,十得私廚,4.2,863
大同區,樂野食,4.3,1311
大同區,拉圖爾精釀柴燒餐廳 La Tour Craft Beer & Wood Grill,4.4,524
大同區,TGI FRIDAYS Ximen Restaurant,4.1,2175
大同區,明福台菜海鮮,4.4,968
大同區,First One Bistro,4.4,2028
大同區,鯉魚 The Carp,4,521
大同區,Walkingbook Bistro,4.1,400
大同區,La Rotisserie,4,2823
大同區,Shin Yeh Main Restaurant,4.2,4222
大同區,Chamonix new Champs Teppanyaki Taipei,4.4,3684
大同區,Shin Yeh Japanese Cuisine Zhongshan Restaurant,4.2,5141
大同區,天香樓 Tien Hsiang Lo,4.4,869
大同區,Second Floor Cafe Breeze Taipei Station,4.2,2539
大同區,Safranbolu Turkish Restaurant 蕃紅花城土耳其餐廳,4.1,2668
大同區,TGI FRIDAYS Linsen Restaurant,4.1,1330
大同區,Mitsui Japanese Restaurant,4.3,2908
大同區,Japanese buffet restaurant Shin Yeh,4.2,5009
大同區,觀世音素菜餐廳,4.3,555
大同區,貳樓餐廳Second Floor Cafe 中山南西店,4.3,1196
大同區,小酌之家,4.5,270
大同區,阿里巴巴的廚房 Ali Baba's Indian Kitchen,4.4,1110
大同區,漁陶屋,4.5,2169
大同區,Guest House,4.3,1387
大同區,Rosemary,4.3,5752
大同區,台北晶華酒店- ?麗廳 Brasserie,4.2,5580
大同區,一碗來,4.3,731
大同區,Shijie Vegan Restaurant,4.5,345
大同區,GB Brewery Restaurant –Taipei NanXi Store,4.2,1121
松山區,新東南海鮮餐廳 松山店,4.3,4536
松山區,JK STUDIO 新義法料理,4.7,1562
松山區,A.I.O餐廳,4.6,363
松山區,French Windows British Teahouse 琺蘭綺?朵英式茶餐館,4.8,2819
松山區,Snail Italian Restaurant,4.6,3694
松山區,艾朋牛排餐酒館 ? POINT STEAK & BAR,4.6,3538
松山區,筷子餐廳,4.2,568
松山區,洋城義大利餐廳-內湖家樂福店,4.5,551
松山區,磚窯古早料理餐廳創始店,4.3,873
松山區,215歐廚 (求婚約會推薦、人氣音樂餐廳、排隊美食),4.3,194
松山區,富錦樹台菜香檳,4.1,960
松山區,Monsieur L Restaurant,4.4,803
松山區,Pay My Tuition Restaurant,4.4,318
松山區,好樣餐桌 VVG Table,4.4,54
松山區,In Between,4.1,368
松山區,Mosun 墨賞新鐵板料理餐廳,4.4,3125
松山區,ABV Bar & Kitchen 地中海餐酒館-精釀Beer餐廳,4.4,2076
松山區,TGI FRIDAYS Xinyi Restaurant,4.1,2139
松山區,Li Ke Kang Restaurant,4.3,200
松山區,Jimmy's Kitchen,4.5,3449
松山區,新東南海鮮餐廳 松山店,4.3,4536
松山區,French Windows British Teahouse 琺蘭綺?朵英式茶餐館,4.8,2819
松山區,Snail Italian Restaurant,4.6,3694
松山區,艾朋牛排餐酒館 ? POINT STEAK & BAR,4.6,3538
松山區,磚窯古早料理餐廳創始店,4.3,873
松山區,富錦樹台菜香檳,4.1,960
松山區,好樣餐桌 VVG Table,4.4,54
松山區,In Between,4.1,368
松山區,TGI FRIDAYS Xinyi Restaurant,4.1,2139
松山區,KiKi Eslite Xinyi Restaurant,4.2,1853
松山區,聚聚樓 eslite garden,4.2,70
松山區,台安醫院B1餐廳,4.5,28
松山區,Cairns Stone Grill,4.6,4456
松山區,Ju Yuan Restaurant,4.1,786
松山區,Tuga,4.4,1024
松山區,ABV Bar & Kitchen美式餐酒館 美式烤肉 漢堡 牛排 鄉村菜 美式餐廳,4.6,463
松山區,Xiangjian Xiaolu Restaurant,4.3,307
松山區,Juan Yao Restaurant,4.2,992
松山區,KIKI餐廳 (延吉創始店),4.1,1377
松山區,T+T,4.6,524
松山區,Yong Bao Restaurant,4,1227
松山區,Hao Wei Wu Restaurant,4.1,107
松山區,媽咪講親子餐廳會所Money Jump,4.6,2355
松山區,Japoli Italian Bistro,4.3,2211
松山區,Winona葡萄酒餐廳,4.4,535
松山區,INPARADISE 饗饗,4.3,6921
松山區,Cantine Marais 瑪黑餐酒,4.5,972
松山區,好食在食堂-松山區熱炒海鮮餐廳,4,295
松山區,Hooters美式餐廳 信義店,4.4,884
松山區,TGI FRIDAYS 星期五美式餐廳 松高餐廳,4.1,591
松山區,暮暮烏龍麵,4.4,504
松山區,Shalom新美式餐廳,4.1,122
松山區,北平采芝樓餐廳,3.9,482
松山區,都一處 仁愛店,4,1924
松山區,蔬漫小姐Miss Shumaan.house,4.5,1211
松山區,50/50 Cuisine Fran?aise,4.6,343
松山區,Goodies Cuisine,4.3,2260
松山區,Latitude 25,4.1,289
松山區,Village | private kitchen ‧ small stack of wine,4.3,772
松山區,Cin Cin Osteria 請請義大利餐廳(逸仙店),4.4,1550
中正區,L'IDIOT RESTAURANT,4.5,2068
中正區,Shuxiang Huayuan Restaurant,4.2,303
中正區,易明軒庭園餐廳,4.5,245
中正區,Shizhang Guandi Restaurant,4,866
中正區,Jimmy's Garden,4.6,943
中正區,collective elements restaurant 健康餐廳/港式餐點/咖啡/下午茶/包場,4.7,270
中正區,JAI宅 西門店,4.5,1680
中正區,Second Floor Caf? Renai Store,4.3,5777
中正區,拾食樸餐廳 Purie's Recipes,4.5,337
中正區,Ducky Restaurant,4.5,1687
中正區,米食韓國餐廳 ?? MiShi,4.4,579
中正區,淘憩時光親子餐廳,4.3,599
中正區,樂埔町 Leputing,4.4,933
中正區,哈喜拉hasila 原住民餐廳,4.5,176
中正區,WOW Bistro旺.慢食餐酒館-中山店/捷運中山站美食/中山站推薦餐廳/義大利麵/燉飯/牛排,4.6,1485
中正區,GEN. SUN LI-JEN RESIDENCE,4.3,2317
中正區,Ya Li Shi Restaurant,3.9,801
中正區,8 Hao Jipin Seafood Restaurant,4.4,182
中正區,Yi Xiang Yuan Restaurant,4,441
中正區,Langman Yisheng Western Restaurant,4,579
中正區,梅子鰻蒲燒專賣店 Umeko Japanese Unagi Restaurant,4.4,1358
中正區,Domani,4.2,616
中正區,Le Palais,4.4,1860
中正區,Mountain & Sea House Restaurant,4.1,1299
中正區,Psalms Cafe詩篇咖啡餐廳,4.5,1242
中正區,翡冷翠義式餐廳,4.4,1743
中正區,Su Hung,4.1,1851
中正區,Venice Cookshop,4.3,1639
中正區,吃吧餐廳 chiba,4,640
中正區,Second Floor Cafe NTNU store,4.2,2567
中正區,樂野食,4.3,1311
中正區,大鵬灣食堂,4.1,229
中正區,拉圖爾精釀柴燒餐廳 La Tour Craft Beer & Wood Grill,4.4,524
中正區,DA ANTONIO by 隨意鳥地方 民生店,4.2,389
中正區,TGI FRIDAYS Ximen Restaurant,4.1,2175
中正區,Qiao Yi Restaurant,4,61
中正區,Tianyuan Seafood Restaurant,4.2,2432
中正區,TGI FRIDAYS Guting Restaurant,4.1,1913
中正區,Meat Up西?店,4.5,5387
中正區,First One Bistro,4.4,2028
